Размер квадрата: 1000
Средняя длина трубки: 100
Плотность: 0.1
      x|      y|      k|
867.167| 925.11|101.936|
673.412|1.65778|95.7992|
865.785|587.602|95.3119|
587.087|844.863|92.1802|
805.986|870.121|98.2672|
634.045|78.7953|93.6248|
738.799| 654.22| 92.321|
665.409|969.836|103.729|
10.6459|745.577|91.7832|
401.943|982.534|103.593|
212.771|280.028|98.4089|
414.136|70.8722|98.7201|
587.829|366.315| 93.944|
981.342| 714.34|91.8834|
576.322|470.721|100.828|
 401.33|707.657|90.2741|
 151.19|147.871|93.1642|
133.792|714.904|  104.8|
93.4262|474.395|103.452|
950.761|515.292| 94.846|
913.517|276.742|98.5414|
12.7832|417.838|90.4352|
166.517|766.998|104.811|
367.146|85.3983|106.899|
509.143|696.597| 106.64|
 493.57|151.888|94.9152|
250.328|983.972|96.6594|
98.1798|596.393|106.856|
914.617|157.786|107.114|
 889.65|30.5721|95.4746|
82.8168|242.913|93.2736|
206.555|718.744|103.953|
398.893|435.499|99.5682|
619.193|663.222|108.359|
930.648|801.186|107.501|
410.181|278.156|105.297|
 9.0749|406.252|105.092|
946.602|850.017|96.8175|
466.083| 449.54|97.1208|
817.541|114.051|101.332|
79.9677|328.397|92.0149|
117.132|917.126|104.452|
61.0724|615.786|90.2421|
573.325|207.802| 96.883|
311.442|565.911|97.4528|
510.445|190.573|95.5632|
150.623|41.0584|109.585|
407.795|510.808|101.721|
302.732|159.019|109.445|
625.547|154.298|95.8836|
 37.492|363.171|96.5916|
196.585|380.656|106.042|
150.322|469.768|91.9427|
794.639|786.973|102.433|
908.104|666.748|103.974|
729.261|505.386|98.8119|
0.852143|728.103|101.662|
46.7593|380.727|102.668|
346.222|771.208|100.842|
771.924|314.091|108.964|
84.5607|250.217| 90.701|
53.2641| 84.069|98.5465|
850.934| 318.23|102.931|
280.558|738.648|108.063|
12.4569| 107.42| 105.04|
631.751|392.674|91.3678|
139.308|505.671|93.4252|
464.996|406.082|106.539|
420.557|796.463|109.567|
807.729|274.933|96.8288|
 814.29| 418.39|94.2133|
887.754|694.381|100.406|
595.079|933.381|98.2552|
 670.89|707.012|103.479|
289.541|346.043|96.7456|
570.444|167.185|99.0128|
619.472|575.221|93.9365|
 126.23|340.698| 90.785|
376.971|949.528|105.865|
15.4317|1.78003|109.115|
817.256|551.451|90.8253|
127.644|648.909|96.2468|
709.922|258.791|103.482|
279.648|629.748|107.384|
242.859|767.521|97.3983|
731.385|764.644|99.1835|
954.266|198.267| 93.557|
277.713|455.095|102.764|
459.079|654.302|97.2185|
456.089|943.218| 103.99|
587.965|45.1512|102.459|
817.928|712.474|98.4985|
359.171|784.828|92.1231|
733.324|856.213| 100.24|
660.731|442.071|94.7718|
308.085|63.5119|103.195|
664.794|143.428| 100.91|
 762.96|51.8377|104.902|
630.876|831.701|99.9276|
693.425|536.147|97.9891|
90.3937|91.7839|97.6948|
427.634| 214.47|103.434|
186.121|147.596|95.0527|
169.047|96.4104|97.0112|
413.404| 418.64|90.2389|
90.0259|386.693|98.5136|
208.417|52.3954|103.296|
44.3969|387.208|98.1376|
 209.28|115.302|100.962|
746.586| 917.57|92.0518|
759.824|875.266|106.901|
419.617|609.658|90.5767|
44.2212|546.176|103.667|
949.866|127.488|105.895|
672.815|301.656|105.915|
 507.98| 85.012|97.5698|
 278.79|263.961| 107.57|
645.767| 79.902|90.8671|
308.422|475.843|96.7831|
608.678| 611.47|109.052|
308.476| 543.45|94.2069|
593.747|735.038|96.4709|
683.066|46.6053|101.372|
370.956|316.628|98.4516|
980.109|857.484|100.357|
38.0319|387.524|90.0996|
