Проницаемый слой: 1
p    вер
0,18       0
0,185    0,01
0,19    0,01
0,195       0
0,2       0
0,2    0,02
0,201    0,02
0,202    0,02
0,203    0,01
0,204       0
0,205    0,01
0,206    0,01
0,207    0,02
0,208    0,05
0,209    0,04
0,21    0,03
0,211    0,04
0,212    0,06
0,213    0,02
0,214    0,06
0,215    0,06
0,216    0,09
0,217    0,09
0,218    0,07
0,219    0,06
0,22    0,06
0,221    0,13
0,222    0,12
0,223     0,1
0,224    0,12
0,225    0,09
0,226     0,1
0,227    0,07
0,228    0,15
0,229    0,16
0,23    0,22
0,231    0,21
0,232    0,23
0,233    0,17
0,234    0,12
0,235    0,17
0,236    0,24
0,237    0,28
0,238    0,22
0,239    0,28
0,24     0,2
0,241    0,27
0,242    0,48
0,243    0,33
0,244    0,41
0,245    0,46
0,246    0,43
0,247    0,42
0,248     0,5
0,249    0,42
0,25    0,51
0,251     0,5
0,252    0,56
0,253    0,49
0,254     0,5
0,255     0,6
0,256    0,61
0,257    0,61
0,258    0,63
0,259    0,64
0,26    0,76
0,261    0,67
0,262    0,76
0,263    0,67
0,264    0,74
0,265    0,73
0,266    0,78
0,267    0,86
0,268    0,76
0,269    0,87
0,27    0,81
0,271    0,89
0,272    0,87
0,273    0,84
0,274    0,88
0,275    0,87
0,276     0,9
0,277    0,87
0,278    0,91
0,279    0,92
0,28    0,95
0,281    0,96
0,282    0,96
0,283    0,96
0,284    0,98
0,285    0,98
0,286    0,98
0,287    0,96
0,288    0,98
0,289    0,99
0,29    0,97
0,291    0,97
0,292    0,99
0,293    0,98
0,294    0,98
0,295    0,99
0,296       1
0,297       1
0,298       1
