Размер квадрата: 1000
Средняя длина трубки: 100
Радиус: 1
Количество испытаний: 5
Межчастичный слой: 5
      x|      y|      k|
********************************************************************
Испытание1
Плотность: 0.05
********************************************************************
12.9194|343.494|99.1187|
297.749|525.434| 93.546|
309.692|786.306|101.824|
 795.23|246.062|96.1072|
839.351|767.514|98.8889|
756.802|403.605|98.5666|
17.3611|1.64972|100.593|
226.421| 949.14|102.921|
480.141|491.481|91.3415|
652.777|383.985| 102.51|
698.842|758.971|102.294|
 275.69|837.744|99.8258|
713.085|731.721|105.979|
424.612|332.664|99.0193|
383.003| 334.02|104.567|
995.585|991.289|97.5077|
564.425|272.633|101.009|
405.073|680.858|101.691|
61.9199|309.708|105.504|
470.623|974.388|97.6209|
558.255|812.201|103.241|
547.136|289.789| 104.98|
447.817|930.487|104.291|
165.682|514.611|97.5344|
343.796|848.186|104.722|
826.877|338.938|95.0062|
151.242|576.784|94.5983|
  307.8|590.431| 108.09|
497.689| 742.49|107.346|
 352.87|16.5973|99.6408|
127.757|733.248|93.0122|
518.712|597.764|103.901|
747.258|775.969|97.5567|
774.666|643.089|108.668|
556.914|368.933|96.4952|
 944.31|918.944|101.946|
 65.823|719.801|108.858|
898.993|182.162|98.2284|
991.183|230.201|98.7155|
703.918|100.892|90.3846|
806.982|135.899| 97.858|
976.707|724.571|95.8424|
754.412|725.573|91.9252|
7.15521|587.283|98.0874|
634.948|507.276|103.827|
 71.425|136.558|104.006|
435.744|57.3426|107.952|
926.417|420.719|96.4996|
91.8436|837.668|90.1852|
800.865|355.639|95.4244|
559.029| 360.03|92.9061|
790.652|367.558| 95.043|
 886.93|106.055| 97.589|
 865.68|77.8232|92.1451|
 979.18|505.782|107.578|
756.626|219.402|101.487|
644.015|450.943|106.147|
 153.91|744.956|101.115|
718.303|838.154|105.666|
309.006|434.098|93.5356|
718.378|187.161| 90.162|
5.55995|814.026| 100.54|
82.2418|236.763|104.071|
789.239|666.391|100.189|
450.019|108.801| 109.52|
223.809|275.383|108.926|
633.696|844.398|103.138|
936.073| 312.46|101.459|
974.374|615.549|101.847|
578.395|137.229| 101.03|
367.485|876.545|92.5254|
 965.46|558.497|102.105|
638.615|7.94544|101.464|
899.979|793.871|105.554|
505.206|716.162|102.969|
904.521|969.572|91.2027|
 754.01|43.1413|95.1536|
 250.75|556.298|100.784|
604.181|952.888|91.3294|
838.965|13.4948|109.372|
252.689|678.167|94.2405|
930.574|652.154|104.578|
642.366|220.724| 104.34|
96.3624|345.464| 94.348|
262.373|864.181|92.4197|
347.346|221.302|93.2592|
382.488|892.186|96.3816|
  233.9|993.023|100.827|
638.503|303.466|102.282|
805.494| 521.37|108.401|
147.606|609.428|90.5861|
  536.9| 337.91|93.3684|
 393.65|324.858|108.098|
324.172|146.003|106.621|
345.557|246.466|108.126|
 85.923|197.218|94.8431|
924.476|849.123|106.101|
418.392|643.445|93.8003|
925.614|816.963|105.191|
649.781|594.692|96.4539|
270.863|828.838| 108.91|
358.151|264.522|91.4035|
179.388|602.317|94.5364|
  620.1|560.248|91.6821|
547.189|846.299| 106.15|
139.484|243.771|98.1653|
286.507|17.3405|91.9029|
 462.55|227.012|100.191|
794.495| 478.56|109.141|
 533.92|142.281|104.365|
105.372|763.008|102.814|
311.643|43.6425|99.9634|
193.898|483.424|101.413|
605.998|635.574|105.663|
829.823|889.935|108.956|
998.313|459.488|102.401|
60.2877|507.209|90.9521|
551.547|401.124|99.7504|
 954.81|6.55014|98.9289|
278.038|20.6311|106.797|
227.258|153.153|102.824|
12.4857|486.669|107.756|
315.144|118.264|107.969|
572.641|300.836|100.448|
742.135|984.314|95.1736|
300.152|778.738|106.993|
494.768|348.355|104.126|
 559.74|939.555|90.9264|
958.851| 157.13|95.1449|
352.153|360.602|106.167|
937.181|121.453|91.2923|
9.05378|317.982| 97.104|
786.478|555.766|108.161|
829.354|341.166|93.1832|
792.324|368.729|92.4503|
558.485|90.3007|90.8872|
683.229|816.923|106.726|
900.113|996.822|103.092|
685.459|42.3201|97.9517|
161.532|490.627|96.1891|
131.688| 959.32|93.1431|
923.469|425.408| 92.018|
542.778|82.4089|103.555|
41.8288|206.644|98.7212|
292.109|590.014|105.281|
40.2745|131.867| 92.446|
733.454|260.597|101.119|
 160.52|290.014|108.914|
 39.569|454.485|107.552|
392.609|725.185|94.2356|
160.344|165.349|93.7055|
711.073|564.094|108.134|
234.465|969.535|101.994|
657.302|779.983|94.3163|
789.052| 736.86|98.0383|
357.225| 502.77|90.3167|
124.411|882.033|98.5858|
513.101|934.371|94.7576|
8.64593|428.429|90.7537|
12.5168|746.279|108.125|
187.756|798.888|94.5005|
65.1028|189.649|100.619|
806.268|828.881|109.115|
614.151|422.324|94.3629|
 737.79|4.14126|99.3413|
800.462|562.936|109.617|
975.391|275.438| 104.98|
922.707|997.049|100.525|
477.116|516.758|106.059|
877.998|923.278| 104.82|
  216.8|37.7015|91.5736|
203.812|347.354|101.675|
695.177|565.473|107.155|
 483.46|979.783|99.5635|
99.4023|888.277|101.569|
153.735|512.574|92.3057|
225.974|585.301|102.477|
984.268|284.124|98.6987|
86.6573|420.841|92.6944|
894.192|280.122|101.818|
 167.57| 278.89|100.254|
269.881|679.089|98.9368|
 151.28|262.963| 101.39|
261.231|941.036|105.574|
304.142|797.769|96.5931|
74.2613|305.767| 90.172|
224.344|354.566|100.018|
594.196|285.511|100.169|
487.978|946.718|93.4255|
906.268|71.0831|94.2649|
36.2535|702.632|92.8505|
756.707|813.874|100.551|
809.915|223.237|91.1043|
100.563|994.103|101.931|
562.179|769.037|97.5719|
886.321|977.444| 107.12|
510.493|475.833|93.7323|
523.594|508.002|101.625|
 764.14|482.474|  93.89|
431.322|464.569| 99.888|
67.8385|848.614|94.9848|
804.845|81.2158|95.7966|
164.076|482.342|105.015|
734.555|30.5842|91.6114|
125.853|167.724|90.0299|
990.258| 534.64|98.9807|
764.248| 951.34|96.7895|
444.568|673.652|95.5412|
869.362|465.712|96.1111|
739.422|427.186|90.8311|
782.821|314.148|95.6695|
452.882| 202.23|98.4186|
781.754|373.672|96.8023|
301.282|636.026|104.181|
345.322|826.757|98.1371|
86.2133|307.658|93.9845|
 583.12|648.972|100.793|
35.2142|218.382|95.2487|
386.038|443.778|100.781|
 588.51|748.931|100.596|
524.092|88.8771|108.953|
316.272|207.277| 97.308|
909.841|20.5877|98.0227|
216.238|811.868|91.1099|
475.327|515.636|103.815|
708.863|130.812|105.726|
399.561|239.968|94.7698|
749.853|399.486| 106.53|
444.906|829.233|96.9073|
522.527|6.85432|99.6034|
608.017|120.915|102.676|
68.6155|97.7971|93.4235|
451.449|680.445|107.208|
735.364|395.967|98.7379|
326.759|854.326| 103.25|
118.701|903.479| 92.814|
341.313|95.5703|100.169|
865.362|669.181|99.2194|
160.177|404.139|103.923|
800.395|213.398|100.689|
68.1244|685.636|98.2079|
558.068|8.89023|95.4849|
112.448|605.099| 95.457|
558.889|831.285|103.915|
251.599| 704.51|96.8071|
890.167|711.116| 99.154|
557.593|289.536|106.347|
461.484|610.073|104.152|
 933.51|156.318|94.8444|
815.063|242.633|109.982|
Реальная плотность: 0.049817
********************************************************************
Испытание2
Плотность: 0.05
********************************************************************
582.086|473.206|105.389|
102.119| 336.73|104.596|
637.209|387.358|91.6378|
748.049|62.6795| 107.64|
139.392|771.202|98.5733|
578.702|955.589|107.163|
 940.55|950.532|95.5182|
 393.89|833.889|100.474|
704.255|250.954|103.698|
 611.13|77.7781|95.0652|
857.208|464.352|90.0856|
725.638|666.048|98.0562|
297.937|939.703|99.4448|
631.259| 758.26|104.773|
257.277|729.328|105.923|
133.411|907.807|109.453|
32.0502|675.269|92.6818|
489.707|38.4837|98.4385|
696.867|498.372|104.929|
88.5832|584.848|93.9556|
437.784|135.773|97.0594|
765.639|330.303| 104.61|
754.164|987.845|96.2046|
779.591|327.777|94.5597|
246.994|586.393|101.682|
368.628|108.516|108.738|
494.718|801.977|100.379|
97.4463|852.287| 96.458|
183.631|987.037|95.4602|
914.363|943.015|100.269|
493.976|634.986|104.468|
423.722| 390.83|91.4372|
942.082|548.439|98.9554|
225.407|619.068|98.5563|
527.757|193.703| 95.693|
657.023|602.195|101.588|
14.9706| 176.57|99.8772|
879.279|191.841|95.5506|
 153.65|240.517|91.0701|
690.245|309.839|96.6018|
 242.16|921.213|106.433|
290.666|378.663|106.863|
272.234|491.495|94.4607|
502.177|752.517|107.388|
445.191|251.201|108.056|
130.547|200.641|95.2306|
 29.098|230.222|94.4058|
  374.9|380.098|99.3073|
643.757|5.63964| 97.969|
60.8142|106.054|109.039|
903.216|297.395|107.342|
871.954|792.352|93.3878|
875.677|985.777|102.622|
442.241|831.286|106.566|
441.289| 709.46|98.8495|
373.786|867.679|92.4452|
